model,split_type,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc
logistic_regression,random,0.96,0.963188559322034,0.9912280701754386,0.9576271186440678,0.9741379310344828,0.9939088983050848,0.9983981571274434
random_forest,random,0.9733333333333334,0.9602754237288136,0.9830508474576272,0.9830508474576272,0.9830508474576272,0.9943061440677967,0.9984507403459502
gradient_boosting,random,0.9666666666666667,0.9446504237288136,0.9747899159663865,0.9830508474576272,0.9789029535864979,0.9888771186440678,0.9970107792946188
