model,split_type,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc
logistic_regression,scaffold,0.8333333333333334,0.6200284090909091,0.8872180451127819,0.921875,0.9042145593869731,0.8629261363636362,0.9758841280224262
random_forest,scaffold,0.8466666666666667,0.49609375,0.8523489932885906,0.9921875,0.9169675090252708,0.8785511363636365,0.978996933280308
gradient_boosting,scaffold,0.8533333333333334,0.5188210227272727,0.8581081081081081,0.9921875,0.9202898550724637,0.8283025568181819,0.9679852555105888
